Geography,internet-subscription-pct,internet-subscription-moe
"Addison County, Vermont",79.3,1.6
"Bennington County, Vermont",78.5,1.7
"Caledonia County, Vermont",71.7,2.3
"Chittenden County, Vermont",85.6,1
"Essex County, Vermont",69.4,3
"Franklin County, Vermont",78.8,1.7
"Grand Isle County, Vermont",81.7,2.5
"Lamoille County, Vermont",80.2,2.4
"Orange County, Vermont",75.8,1.6
"Orleans County, Vermont",72.4,1.7
"Rutland County, Vermont",76.3,1.6
"Washington County, Vermont",80.3,1.7
"Windham County, Vermont",76.6,1.7
"Windsor County, Vermont",80.5,1.5