place,pop,moe
"Albany village, Vermont",159,59
"Alburgh village, Vermont",545,149
"Arlington CDP, Vermont",1316,251
"Ascutney CDP, Vermont",479,176
"Barnet CDP, Vermont",195,119
"Barre city, Vermont",8778,33
"Barton village, Vermont",559,118
"Beecher Falls CDP, Vermont",207,62
"Bellows Falls village, Vermont",3013,200
"Bennington CDP, Vermont",8813,361
"Benson CDP, Vermont",311,84
"Bethel CDP, Vermont",787,190
"Bradford CDP, Vermont",595,190
"Brandon CDP, Vermont",1416,275
"Brattleboro CDP, Vermont",6934,384
"Bristol CDP, Vermont",1839,303
"Burlington city, Vermont",42453,34
"Cabot CDP, Vermont",192,68
"Cambridge village, Vermont",206,51
"Canaan CDP, Vermont",333,83
"Castleton CDP, Vermont",1357,245
"Cavendish CDP, Vermont",196,68
"Chelsea CDP, Vermont",286,69
"Chester CDP, Vermont",728,147
"Concord CDP, Vermont",256,88
"Coventry CDP, Vermont",47,26
"Danville CDP, Vermont",368,119
"Derby Center village, Vermont",563,118
"Derby Line village, Vermont",815,155
"Dorset CDP, Vermont",259,100
"East Barre CDP, Vermont",787,266
"East Burke CDP, Vermont",67,36
"East Middlebury CDP, Vermont",299,141
"East Montpelier CDP, Vermont",52,42
"Enosburg Falls village, Vermont",1306,182
"Essex Junction village, Vermont",10132,32
"Fairfax CDP, Vermont",895,225
"Fair Haven CDP, Vermont",2325,98
"Fairlee CDP, Vermont",265,101
"Glover CDP, Vermont",271,59
"Graniteville CDP, Vermont",922,208
"Greensboro CDP, Vermont",114,44
"Greensboro Bend CDP, Vermont",214,78
"Groton CDP, Vermont",453,116
"Hardwick CDP, Vermont",1450,333
"Hartland CDP, Vermont",288,129
"Hinesburg CDP, Vermont",807,270
"Hyde Park village, Vermont",493,118
"Irasburg CDP, Vermont",127,38
"Island Pond CDP, Vermont",754,143
"Jacksonville village, Vermont",203,63
"Jeffersonville village, Vermont",793,136
"Jericho village, Vermont",1420,231
"Johnson village, Vermont",1462,191
"Lowell CDP, Vermont",161,65
"Ludlow village, Vermont",866,135
"Lyndonville village, Vermont",1390,271
"Manchester village, Vermont",603,188
"Manchester Center CDP, Vermont",2444,424
"Marshfield village, Vermont",307,92
"Middlebury CDP, Vermont",7024,290
"Milton CDP, Vermont",2202,464
"Montpelier city, Vermont",7584,51
"Morrisville village, Vermont",2128,291
"Newbury village, Vermont",342,90
"Newfane village, Vermont",95,50
"Newport city, Vermont",4372,35
"Newport Center CDP, Vermont",345,125
"North Bennington village, Vermont",1685,178
"Northfield CDP, Vermont",2012,290
"North Hartland CDP, Vermont",131,104
"North Springfield CDP, Vermont",655,249
"North Troy village, Vermont",617,133
"North Westminster CDP, Vermont",231,115
"Norwich CDP, Vermont",783,176
"Old Bennington village, Vermont",179,51
"Orleans village, Vermont",926,133
"Perkinsville village, Vermont",128,55
"Pittsford CDP, Vermont",634,155
"Plainfield CDP, Vermont",314,96
"Poultney village, Vermont",1510,193
"Proctorsville CDP, Vermont",409,133
"Putney CDP, Vermont",456,108
"Quechee CDP, Vermont",339,176
"Randolph CDP, Vermont",2160,290
"Readsboro CDP, Vermont",295,60
"Richford CDP, Vermont",1587,222
"Richmond CDP, Vermont",420,157
"Rochester CDP, Vermont",270,71
"Rutland city, Vermont",15740,20
"St. Albans city, Vermont",6847,21
"St. Johnsbury CDP, Vermont",5789,324
"Saxtons River village, Vermont",464,117
"Shelburne CDP, Vermont",545,275
"South Barre CDP, Vermont",1271,348
"South Burlington city, Vermont",18773,29
"South Royalton CDP, Vermont",624,187
"South Shaftsbury CDP, Vermont",543,245
"Springfield CDP, Vermont",3864,460
"Stowe CDP, Vermont",396,153
"Swanton village, Vermont",2632,347
"Troy CDP, Vermont",56,29
"Vergennes city, Vermont",2606,18
"Waitsfield CDP, Vermont",168,55
"Wallingford CDP, Vermont",899,162
"Waterbury village, Vermont",1832,288
"Websterville CDP, Vermont",425,220
"Wells CDP, Vermont",441,128
"Wells River village, Vermont",382,93
"West Brattleboro CDP, Vermont",2555,283
"West Burke village, Vermont",320,75
"Westminster village, Vermont",261,78
"West Rutland CDP, Vermont",2143,197
"White River Junction CDP, Vermont",2494,230
"Wilder CDP, Vermont",1451,292
"Williamstown CDP, Vermont",1195,259
"Wilmington CDP, Vermont",419,169
"Windsor CDP, Vermont",2113,242
"Winooski city, Vermont",7203,34
"Woodstock village, Vermont",1156,221
"Worcester CDP, Vermont",39,17